row,property,rooms,providedUnitCode,matchedName,homeId,projectId,listingId,confidence,accepted
82,Pg Sant Joan 4-1,4,68768928e48f7e407fb26f0e,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
83,Psg Sant Joan 4º 2ª,3,68768928e48f7e407fb26f10,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
84,Psg Sant Joan 5º 2ª,4,68768928e48f7e407fb26f12,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
87,Providencia Bajs 2ª,1,687679b5edbd1041b92ce0bf,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
88,Providencia Pral 2ª,3,687679b5edbd1041b92ce0c1,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
89,Providencia 1º 1ª,2,687679b5edbd1041b92ce0be,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
90,Providencia 1º 2ª,3,687679b5edbd1041b92ce0bd,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
91,Providencia 2º 1ª,2,687679b5edbd1041b92ce0d9,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
92,Providencia 2º 2ª,2,687679b5edbd1041b92ce0c3,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
93,Providencia 3º 2ª,2,687679b5edbd1041b92ce0c7,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
94,Providencia 4º 2ª,3,687679b5edbd1041b92ce0ca,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
96,Sardenya 1º 2ª,2,687679b5edbd1041b92ce0cf,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
97,Sardenya 2º 2ª,2,687679b5edbd1041b92ce0d2,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
98,Sardenya 3º 2ª,2,687679b5edbd1041b92ce0d4,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
99,Sardenya 4º 2ª,2,687679b5edbd1041b92ce0d7,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
100,Sardenya 5º 2ª,2,687679b5edbd1041b92ce0d6,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
102,Torrent Olla Pral 1ª,3,687535528b627233fbe4aaa6,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
103,Torrent Olla 1º 1ª,3,687535528b627233fbe4aaa7,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
104,Torrent Olla 1º 2ª,4,687535528b627233fbe4aaaf,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
105,Torrent Olla 2º 1ª,4,687535528b627233fbe4aaaa,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
106,Torrent Olla 2º 2ª,3,687535528b627233fbe4aab4,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
107,Torrent Olla 3º 2ª,4,687535528b627233fbe4aab6,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
108,Torrent Olla Ático,1,,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
110,Valencia Pral 1ª,3,686b83ec890c990624e39a26,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
111,Valencia 2º 1ª,4,686b878d890c990624e3c2ed,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
112,Valencia Ático,1,686b882cc7c40605e62c3cdb,Carabanchel Long Stays,67c98e146f22e318a3ff4748,,,0,false
